"asset","date","close","net_gex_m","put_support_0dte","call_resistance_0dte","hvl","iv_rank","skew_0dte","swing_bias","source","quality_flags"
"ES1!","2025-11-03","4013.7","6.98","4000","4015","4005","48.3","5.8","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-04","3941.3","-4.65","3900","4000","3955","46.3","8.6","bearish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-05","3990.4","9.38","3945","4000","3995","43.9","11.7","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-06","3984.8","7.89","3950","4020","3995","43.7","13.4","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-07","4007.8","12.59","4000","4020","3955","42.3","11.8","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-10","4123.4","20.18","4050","4125","4050","59.5","1.6","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-11","4133.2","21.63","4080","4165","4005","59.2","3.5","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-12","4201.4","24.92","4200","4235","4070","71.3","-1","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-13","4174.5","18.81","4130","4190","4070","65.7","7.2","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-14","4084.4","8.68","4040","4195","4115","63.6","-49.7","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-17","4057.7","2.28","4000","4100","4070","60.4","7.1","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-18","4079.8","6.33","4000","4100","4070","61","6.7","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-19","4072.1","9.61","4065","4100","4070","59.5","21.5","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-20","4082.4","7.77","4000","4150","4065","60.5","-9","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
"ES1!","2025-11-21","4089.4","5.43","4025","4120","4045","58.9","-40.9","bullish","C:\Users\R1_PC\.codex\attachments\7f75d36c-1fbc-4496-96d5-4a95100c77c4",""
