asset,date,close,source,quality_flags
ES1!,2025-09-25,6662.00,quin_2026-09-23,
ES1!,2025-09-26,6697.75,quin_2026-09-23,
ES1!,2025-09-29,6708.50,quin_2026-09-23,
ES1!,2025-09-30,6724.00,quin_2026-09-23,
ES1!,2025-10-01,6757.00,quin_2026-09-23,
ES1!,2025-10-02,6765.00,quin_2026-09-23,
ES1!,2025-10-03,6763.00,quin_2026-09-23,
ES1!,2025-10-06,6790.25,quin_2026-09-23,
ES1!,2025-10-07,6765.00,quin_2026-09-23,
ES1!,2025-10-08,6803.25,quin_2026-09-23,
ES1!,2025-10-09,6779.75,quin_2026-09-23,
ES1!,2025-10-10,6552.00,quin_2026-09-23,
ES1!,2025-10-13,6689.75,quin_2026-09-23,
ES1!,2025-10-14,6685.00,quin_2026-09-23,
ES1!,2025-10-15,6713.50,quin_2026-09-23,
ES1!,2025-10-16,6659.25,quin_2026-09-23,
ES1!,2025-10-17,6711.00,quin_2026-09-23,
ES1!,2025-10-20,6780.25,quin_2026-09-23,
ES1!,2025-10-21,6772.50,quin_2026-09-23,
ES1!,2025-10-22,6737.50,quin_2026-09-23,
ES1!,2025-10-23,6777.75,quin_2026-09-23,
ES1!,2025-10-24,6825.25,quin_2026-09-23,
ES1!,2025-10-27,6914.00,quin_2026-09-23,
ES1!,2025-10-28,6927.50,quin_2026-09-23,
ES1!,2025-10-29,6918.00,quin_2026-09-23,
ES1!,2025-10-30,6894.00,quin_2026-09-23,
ES1!,2025-10-31,6872.25,quin_2026-09-23,
ES1!,2025-11-03,6884.00,quin_2026-09-23,
ES1!,2025-11-04,6806.25,quin_2026-09-23,
ES1!,2025-11-05,6827.50,quin_2026-09-23,
ES1!,2025-11-06,6764.75,quin_2026-09-23,
ES1!,2025-11-07,6765.00,quin_2026-09-23,
ES1!,2025-11-10,6857.75,quin_2026-09-23,
ES1!,2025-11-11,6874.00,quin_2026-09-23,
ES1!,2025-11-12,6873.25,quin_2026-09-23,
ES1!,2025-11-13,6762.50,quin_2026-09-23,
ES1!,2025-11-14,6765.25,quin_2026-09-23,
ES1!,2025-11-17,6697.25,quin_2026-09-23,
ES1!,2025-11-18,6627.75,quin_2026-09-23,
ES1!,2025-11-19,6696.00,quin_2026-09-23,
ES1!,2025-11-20,6552.00,quin_2026-09-23,
ES1!,2025-11-21,6631.50,quin_2026-09-23,
ES1!,2025-11-24,6725.00,quin_2026-09-23,
ES1!,2025-11-25,6780.75,quin_2026-09-23,
ES1!,2025-11-26,6830.25,quin_2026-09-23,
ES1!,2025-11-28,6857.25,quin_2026-09-23,
ES1!,2025-12-01,6826.75,quin_2026-09-23,
ES1!,2025-12-02,6842.75,quin_2026-09-23,
ES1!,2025-12-03,6864.75,quin_2026-09-23,
ES1!,2025-12-04,6865.75,quin_2026-09-23,
