asset,date,close_raw,source
ES1!,2025-09-25,"$6,662.00",quin_2026-09-23
ES1!,2025-09-26,"$6,697.75",quin_2026-09-23
ES1!,2025-09-29,"$6,708.50",quin_2026-09-23
ES1!,2025-09-30,"$6,724.00",quin_2026-09-23
ES1!,2025-10-01,"$6,757.00",quin_2026-09-23
ES1!,2025-10-02,"$6,765.00",quin_2026-09-23
ES1!,2025-10-03,"$6,763.00",quin_2026-09-23
ES1!,2025-10-06,"$6,790.25",quin_2026-09-23
ES1!,2025-10-07,"$6,765.00",quin_2026-09-23
ES1!,2025-10-08,"$6,803.25",quin_2026-09-23
ES1!,2025-10-09,"$6,779.75",quin_2026-09-23
ES1!,2025-10-10,"$6,552.00",quin_2026-09-23
ES1!,2025-10-13,"$6,689.75",quin_2026-09-23
ES1!,2025-10-14,"$6,685.00",quin_2026-09-23
ES1!,2025-10-15,"$6,713.50",quin_2026-09-23
ES1!,2025-10-16,"$6,659.25",quin_2026-09-23
ES1!,2025-10-17,"$6,711.00",quin_2026-09-23
ES1!,2025-10-20,"$6,780.25",quin_2026-09-23
ES1!,2025-10-21,"$6,772.50",quin_2026-09-23
ES1!,2025-10-22,"$6,737.50",quin_2026-09-23
ES1!,2025-10-23,"$6,777.75",quin_2026-09-23
ES1!,2025-10-24,"$6,825.25",quin_2026-09-23
ES1!,2025-10-27,"$6,914.00",quin_2026-09-23
ES1!,2025-10-28,"$6,927.50",quin_2026-09-23
ES1!,2025-10-29,"$6,918.00",quin_2026-09-23
ES1!,2025-10-30,"$6,894.00",quin_2026-09-23
ES1!,2025-10-31,"$6,872.25",quin_2026-09-23
ES1!,2025-11-03,"$6,884.00",quin_2026-09-23
ES1!,2025-11-04,"$6,806.25",quin_2026-09-23
ES1!,2025-11-05,"$6,827.50",quin_2026-09-23
ES1!,2025-11-06,"$6,764.75",quin_2026-09-23
ES1!,2025-11-07,"$6,765.00",quin_2026-09-23
ES1!,2025-11-10,"$6,857.75",quin_2026-09-23
ES1!,2025-11-11,"$6,874.00",quin_2026-09-23
ES1!,2025-11-12,"$6,873.25",quin_2026-09-23
ES1!,2025-11-13,"$6,762.50",quin_2026-09-23
ES1!,2025-11-14,"$6,765.25",quin_2026-09-23
ES1!,2025-11-17,"$6,697.25",quin_2026-09-23
ES1!,2025-11-18,"$6,627.75",quin_2026-09-23
ES1!,2025-11-19,"$6,696.00",quin_2026-09-23
ES1!,2025-11-20,"$6,552.00",quin_2026-09-23
ES1!,2025-11-21,"$6,631.50",quin_2026-09-23
ES1!,2025-11-24,"$6,725.00",quin_2026-09-23
ES1!,2025-11-25,"$6,780.75",quin_2026-09-23
ES1!,2025-11-26,"$6,830.25",quin_2026-09-23
ES1!,2025-11-28,"$6,857.25",quin_2026-09-23
ES1!,2025-12-01,"$6,826.75",quin_2026-09-23
ES1!,2025-12-02,"$6,842.75",quin_2026-09-23
ES1!,2025-12-03,"$6,864.75",quin_2026-09-23
ES1!,2025-12-04,"$6,865.75",quin_2026-09-23
