"asset","date","close","net_gex_m","put_support","put_support_0dte","call_resistance","call_resistance_0dte","hvl","one_d_min","one_d_max","iv_rank","iv_0dte","iv_1m","iv_3m","skew_0dte","skew_1m","skew_3m","vrp","vrp_3m","nvrp","term_structure_slope","dex","swing_bias","source","quality_flags"
"NQ1!","2026-07-13","29428.75","NaN","29000.00","29000.00","30000.00","30000.00","29540.00","28976.36","29881.14","77.2","32.9","25.2","","11.4","24.1","","0.5","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-14","29793.50","NaN","28500.00","29750.00","31000.00","30150.00","29750.00","29366.63","30220.37","69.7","23.5","22.9","","21.4","30.2","","-0.1","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-15","29707.50","NaN","28500.00","29500.00","31000.00","29800.00","29750.00","29293.18","30121.82","68.5","22.1","22.3","","31.9","30.2","","0.1","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-16","29179.00","NaN","28500.00","29000.00","30000.00","29600.00","29500.00","28742.46","29615.54","77.7","26.9","24.9","","25.5","27.4","","2.0","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-17","28768.25","NaN","28500.00","28500.00","30000.00","29080.00","29500.00","28323.72","29212.78","80.9","18.5","25.8","","23.9","31.3","","3.7","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-20","28777.00","NaN","28000.00","28760.00","30000.00","28820.00","29000.00","28332.36","29221.64","77.8","28.3","25.8","","18.7","26.3","","3.7","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-21","29289.75","0.5449700000000001","28000.00","29000.00","30000.00","29500.00","29175.00","28926.47","29653.03","55.9","21.2","21.5","","30.3","33.6","","-1.7","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-07-22","29165.00","NaN","28000.00","28900.00","30000.00","29500.00","29170.00","28732.22","29597.78","73.4","27.6","23.9","","11.9","28.6","","2.9","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-23","28739.25","NaN","28000.00","28500.00","30000.00","29080.00","28910.00","28319.72","29158.78","72.9","27.6","25.0","","61.9","39.8","","4.0","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-24","28306.50","NaN","28000.00","28000.00","30000.00","28575.00","29250.00","27865.29","28747.71","78.7","17.4","25.3","","-38.7","14.2","","4.2","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-27","28210.00","NaN","28000.00","28000.00","30000.00","28500.00","28300.00","27777.04","28642.96","77.7","26.6","25.1","","19.6","29.4","","4.0","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-28","27960.50","NaN","28000.00","27500.00","30000.00","28500.00","28020.00","27529.97","28391.03","77.8","32.4","24.8","","16.6","30.2","","4.1","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-29","27259.25","NaN","27000.00","27000.00","31000.00","27320.00","28050.00","26798.21","27720.29","93.0","42.5","28.6","","-5.9","24.7","","8.2","","","","","bearish","quin_2026-09-23",""
"NQ1!","2026-07-30","28333.50","0.80651","28000.00","28000.00","28500.00","28500.00","28060.00","27909.34","28757.66","70.5","29.5","23.1","","17.1","40.0","","-2.0","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-07-31","28287.00","0.06998","28000.00","27840.00","29000.00","28100.00","28040.00","27875.25","28698.75","71.4","17.5","23.0","","13.3","24.6","","-1.2","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-08-03","28929.25","3.2","28000.00","28890.00","29000.00","29250.00","28620.00","28536.29","29322.21","64.4","20.1","22.7","","71.3","21.4","","-2.5","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-08-04","29818.25","4.13","28000.00","29600.00","30000.00","30150.00","28710.00","29396.78","30239.72","68.3","28.4","22.0","","11.4","11.8","","-5.3","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-08-05","29600.25","2.61","28000.00","29400.00","30000.00","30000.00","29440.00","29199.50","30001.00","64.0","23.3","21.7","","14.6","15.7","","-5.1","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-08-06","29504.25","1.96","29200.00","29200.00","30000.00","29700.00","29390.00","29116.01","29892.49","61.3","23.9","21.0","","14.7","19.7","","-5.8","","","","","bullish","quin_2026-09-23",""
"NQ1!","2026-08-07","29839.50","3.53","29750.00","29750.00","31000.00","30000.00","28740.00","29461.43","30217.57","57.8","11.8","20.0","","13.0","17.8","","-6.3","","","","","bullish","quin_2026-09-23",""
