asset,date,close,net_gex_m,put_support,put_support_0dte,call_resistance,call_resistance_0dte,hvl,one_d_min,one_d_max,iv_rank,iv_0dte,iv_1m,iv_3m,skew_0dte,skew_1m,skew_3m,vrp,vrp_3m,nvrp,term_structure_slope,dex,swing_bias,source,quality_flags
VXX,2026-02-17,28.27,12.07,,,,,,,,35.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-18,28.26,11.66,,,,,,,,30.5,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-19,28.98,20.14,,,,,,,,36.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-20,28.37,2.81,,,,,,,,28.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-23,29.44,6.15,,,,,,,,28.2,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-24,28.49,3.64,,,,,,,,23.8,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-25,27.38,0.20803,,,,,,,,28.9,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-26,27.72,2.21,,,,,,,,31.7,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-02-27,28.90,5.27,,,,,,,,36.2,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-02,29.26,8.31,,,,,,,,24.4,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-03,30.48,12.24,,,,,,,,42.7,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-04,29.47,8.52,,,,,,,,30.6,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-05,31.37,16.81,,,,,,,,38.2,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-06,35.67,7.23,,,,,,,,49.6,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-09,32.28,7.51,,,,,,,,42.8,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-10,33.71,6.40,,,,,,,,38.9,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-11,32.26,6.87,,,,,,,,41.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-12,34.45,13.42,,,,,,,,39.9,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-13,35.10,6.29,,,,,,,,42.4,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-16,32.46,4.78,,,,,,,,34.8,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-17,31.99,3.99,,,,,,,,32.5,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-18,34.68,10.06,,,,,,,,39.5,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-19,33.77,8.14,,,,,,,,41.8,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
VXX,2026-03-20,35.97,4.78,,,,,,,,45.0,,,,,,,,,,,,Bullish,quin_batch_2026-02-17_2026-04-28,
