asset,date,close,net_gex_m,iv_rank,swing_bias,source,quality_flags
VXX,2026-07-13,21.78,19.92,14.2,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-14,21.51,20.87,16.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-15,20.85,11.19,33.9,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-16,21.45,29.64,19.7,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-17,22.48,9.66,24.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-20,22.12,15.28,28.3,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-21,21.37,21.01,35.8,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-22,21.55,27.49,29.5,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-23,22.52,68.64,40.9,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-24,22.36,12.72,57.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-27,22.21,17.13,40.2,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-28,22.03,17.48,37.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-29,23.42,28.66,73.2,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-30,21.82,12.32,31.5,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-07-31,21.25,8.09,19.3,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-03,21.08,8.48,10.6,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-04,21.27,9.68,0.8,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-05,20.51,5.87,13.4,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-06,20.23,3.59,10.6,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-07,20.32,7.02,7.9,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-10,20.21,7.57,9.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-11,20.05,8.86,5.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-12,19.45,2.03,16.5,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-13,19.62,6.04,5.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-14,19.36,3.23,2.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-17,19.50,10.41,11.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-18,19.65,18.30,7.9,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-19,19.05,13.60,11.8,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-20,19.19,19.02,13.8,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-21,18.95,12.01,7.9,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-24,18.96,13.61,10.6,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-25,18.67,6.01,25.2,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-26,18.54,9.07,14.6,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-27,18.10,2.54,50.4,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-28,18.36,10.39,5.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-08-31,18.00,15.49,5.1,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-01,18.55,29.62,21.7,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-02,18.02,20.13,20.5,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-03,17.62,12.68,13.4,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-04,17.72,13.08,10.2,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-08,17.99,22.17,22.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-09,18.30,35.01,36.2,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-10,18.88,44.65,28.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-11,18.07,15.46,20.5,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-14,18.23,21.93,22.4,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-15,18.26,27.89,22.0,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-16,18.43,36.01,50.8,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-17,17.73,19.25,28.3,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-18,17.76,12.51,18.5,Bullish,quin_batch_2026-07-13_2026-09-21,
VXX,2026-09-21,,17.88,12.2,Bullish,quin_batch_2026-07-13_2026-09-21,missing_close
